store_number,shop_name,region,format,category,day_of_week,time_of_day_band,test_purchases,pass_rate
024,OmniMart Newcastle,North East,Supermarket,analgesics,Monday,Early evening (17-20),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,tobacco,Friday,Morning (08-12),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,analgesics,Sunday,Afternoon (12-17),1,1.0
006,OmniMart Ealing,London,Supermarket,energy drinks,Sunday,Early evening (17-20),1,0.0
018,OmniMart Leicester,Midlands,Supermarket,analgesics,Tuesday,Morning (08-12),1,1.0
022,OmniMart Preston,North West,Local,energy drinks,Saturday,Morning (08-12),2,1.0
007,OmniMart Guildford,South East,Supermarket,fireworks,Saturday,Morning (08-12),1,1.0
023,OmniMart Chester,North West,Supermarket,fireworks,Saturday,Early evening (17-20),1,1.0
009,OmniMart Brighton,South East,Supermarket,fireworks,Monday,Afternoon (12-17),2,1.0
021,OmniMart Liverpool,North West,Supermarket,fireworks,Monday,Afternoon (12-17),1,1.0
005,OmniMart Richmond,London,Local,fireworks,Tuesday,Morning (08-12),1,1.0
013,OmniMart Bath,South West,Local,fireworks,Tuesday,Afternoon (12-17),1,1.0
007,OmniMart Guildford,South East,Supermarket,fireworks,Tuesday,Early evening (17-20),1,1.0
001,OmniMart Camden,London,Local,fireworks,Tuesday,Late evening (20-22),2,1.0
020,OmniMart Manchester,North West,Superstore,fireworks,Wednesday,Early evening (17-20),1,0.0
006,OmniMart Ealing,London,Supermarket,lottery,Wednesday,Early evening (17-20),1,1.0
021,OmniMart Liverpool,North West,Supermarket,fireworks,Wednesday,Early evening (17-20),1,1.0
007,OmniMart Guildford,South East,Supermarket,analgesics,Thursday,Morning (08-12),1,0.0
029,OmniMart Aberdeen,Scotland,Local,energy drinks,Thursday,Late evening (20-22),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,tobacco,Monday,Morning (08-12),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,lottery,Monday,Afternoon (12-17),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,alcohol,Friday,Morning (08-12),2,0.5
020,OmniMart Manchester,North West,Superstore,tobacco,Friday,Early evening (17-20),1,1.0
011,OmniMart Canterbury,South East,Supermarket,tobacco,Tuesday,Afternoon (12-17),1,1.0
015,OmniMart Plymouth,South West,Supermarket,lottery,Friday,Late evening (20-22),1,1.0
026,OmniMart York,North East,Supermarket,lottery,Saturday,Morning (08-12),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,tobacco,Monday,Early evening (17-20),1,1.0
019,OmniMart Coventry,Midlands,Local,analgesics,Monday,Afternoon (12-17),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,lottery,Wednesday,Afternoon (12-17),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,lottery,Saturday,Afternoon (12-17),1,1.0
024,OmniMart Newcastle,North East,Supermarket,analgesics,Monday,Late evening (20-22),1,1.0
026,OmniMart York,North East,Supermarket,tobacco,Wednesday,Afternoon (12-17),1,1.0
015,OmniMart Plymouth,South West,Supermarket,alcohol,Thursday,Morning (08-12),1,1.0
007,OmniMart Guildford,South East,Supermarket,tobacco,Thursday,Early evening (17-20),1,1.0
003,OmniMart Islington,London,Supermarket,analgesics,Sunday,Morning (08-12),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,lottery,Sunday,Afternoon (12-17),1,1.0
023,OmniMart Chester,North West,Supermarket,lottery,Monday,Early evening (17-20),1,1.0
011,OmniMart Canterbury,South East,Supermarket,energy drinks,Monday,Early evening (17-20),1,1.0
022,OmniMart Preston,North West,Local,tobacco,Tuesday,Early evening (17-20),1,1.0
007,OmniMart Guildford,South East,Supermarket,alcohol,Wednesday,Late evening (20-22),1,1.0
021,OmniMart Liverpool,North West,Supermarket,energy drinks,Friday,Early evening (17-20),2,0.5
003,OmniMart Islington,London,Supermarket,alcohol,Saturday,Afternoon (12-17),1,1.0
023,OmniMart Chester,North West,Supermarket,energy drinks,Saturday,Early evening (17-20),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,alcohol,Friday,Early evening (17-20),1,1.0
008,OmniMart Reading,South East,Superstore,fireworks,Sunday,Afternoon (12-17),1,1.0
011,OmniMart Canterbury,South East,Supermarket,analgesics,Monday,Late evening (20-22),1,1.0
006,OmniMart Ealing,London,Supermarket,fireworks,Tuesday,Afternoon (12-17),1,1.0
003,OmniMart Islington,London,Supermarket,fireworks,Wednesday,Afternoon (12-17),1,1.0
006,OmniMart Ealing,London,Supermarket,fireworks,Wednesday,Afternoon (12-17),1,0.0
028,OmniMart Glasgow,Scotland,Supermarket,fireworks,Wednesday,Afternoon (12-17),1,1.0
023,OmniMart Chester,North West,Supermarket,fireworks,Thursday,Afternoon (12-17),2,1.0
018,OmniMart Leicester,Midlands,Supermarket,fireworks,Thursday,Late evening (20-22),1,1.0
001,OmniMart Camden,London,Local,energy drinks,Saturday,Morning (08-12),1,1.0
030,OmniMart Cardiff,Wales,Supermarket,fireworks,Monday,Afternoon (12-17),1,0.0
004,OmniMart Greenwich,London,Supermarket,lottery,Saturday,Morning (08-12),1,1.0
025,OmniMart Durham,North East,Local,energy drinks,Saturday,Morning (08-12),1,1.0
016,OmniMart Birmingham,Midlands,Superstore,tobacco,Monday,Morning (08-12),1,1.0
011,OmniMart Canterbury,South East,Supermarket,lottery,Monday,Afternoon (12-17),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,alcohol,Tuesday,Afternoon (12-17),1,1.0
005,OmniMart Richmond,London,Local,energy drinks,Friday,Early evening (17-20),1,1.0
010,OmniMart Oxford,South East,Local,energy drinks,Friday,Late evening (20-22),1,0.0
026,OmniMart York,North East,Supermarket,analgesics,Saturday,Afternoon (12-17),1,0.0
018,OmniMart Leicester,Midlands,Supermarket,lottery,Thursday,Afternoon (12-17),1,1.0
020,OmniMart Manchester,North West,Superstore,energy drinks,Wednesday,Morning (08-12),1,1.0
013,OmniMart Bath,South West,Local,energy drinks,Friday,Early evening (17-20),1,0.0
005,OmniMart Richmond,London,Local,lottery,Friday,Early evening (17-20),1,0.0
004,OmniMart Greenwich,London,Supermarket,fireworks,Saturday,Morning (08-12),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,fireworks,Monday,Afternoon (12-17),1,1.0
003,OmniMart Islington,London,Supermarket,tobacco,Friday,Early evening (17-20),1,1.0
026,OmniMart York,North East,Supermarket,tobacco,Saturday,Morning (08-12),2,1.0
020,OmniMart Manchester,North West,Superstore,energy drinks,Sunday,Morning (08-12),1,1.0
013,OmniMart Bath,South West,Local,energy drinks,Thursday,Morning (08-12),1,1.0
014,OmniMart Exeter,South West,Supermarket,energy drinks,Friday,Morning (08-12),1,1.0
022,OmniMart Preston,North West,Local,alcohol,Saturday,Late evening (20-22),1,1.0
009,OmniMart Brighton,South East,Supermarket,tobacco,Tuesday,Afternoon (12-17),1,1.0
002,OmniMart Clapham,London,Local,analgesics,Friday,Afternoon (12-17),1,1.0
011,OmniMart Canterbury,South East,Supermarket,analgesics,Friday,Early evening (17-20),2,1.0
015,OmniMart Plymouth,South West,Supermarket,energy drinks,Monday,Morning (08-12),1,1.0
002,OmniMart Clapham,London,Local,analgesics,Thursday,Morning (08-12),1,1.0
006,OmniMart Ealing,London,Supermarket,energy drinks,Wednesday,Afternoon (12-17),1,0.0
024,OmniMart Newcastle,North East,Supermarket,lottery,Saturday,Afternoon (12-17),1,1.0
010,OmniMart Oxford,South East,Local,tobacco,Saturday,Early evening (17-20),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,lottery,Monday,Late evening (20-22),1,1.0
004,OmniMart Greenwich,London,Supermarket,energy drinks,Friday,Afternoon (12-17),1,1.0
015,OmniMart Plymouth,South West,Supermarket,energy drinks,Saturday,Afternoon (12-17),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,energy drinks,Saturday,Early evening (17-20),1,1.0
024,OmniMart Newcastle,North East,Supermarket,fireworks,Saturday,Late evening (20-22),1,1.0
022,OmniMart Preston,North West,Local,energy drinks,Wednesday,Early evening (17-20),1,1.0
002,OmniMart Clapham,London,Local,lottery,Friday,Early evening (17-20),1,1.0
019,OmniMart Coventry,Midlands,Local,fireworks,Saturday,Afternoon (12-17),1,1.0
009,OmniMart Brighton,South East,Supermarket,tobacco,Saturday,Afternoon (12-17),1,1.0
010,OmniMart Oxford,South East,Local,alcohol,Monday,Early evening (17-20),1,1.0
011,OmniMart Canterbury,South East,Supermarket,energy drinks,Wednesday,Morning (08-12),1,1.0
024,OmniMart Newcastle,North East,Supermarket,lottery,Thursday,Morning (08-12),1,1.0
003,OmniMart Islington,London,Supermarket,alcohol,Tuesday,Late evening (20-22),1,1.0
013,OmniMart Bath,South West,Local,lottery,Wednesday,Morning (08-12),1,1.0
011,OmniMart Canterbury,South East,Supermarket,alcohol,Wednesday,Afternoon (12-17),1,1.0
026,OmniMart York,North East,Supermarket,tobacco,Thursday,Early evening (17-20),1,1.0
021,OmniMart Liverpool,North West,Supermarket,energy drinks,Tuesday,Early evening (17-20),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,analgesics,Thursday,Afternoon (12-17),1,1.0
010,OmniMart Oxford,South East,Local,energy drinks,Friday,Early evening (17-20),1,1.0
012,OmniMart Bristol,South West,Superstore,energy drinks,Wednesday,Early evening (17-20),1,1.0
009,OmniMart Brighton,South East,Supermarket,lottery,Thursday,Morning (08-12),1,1.0
016,OmniMart Birmingham,Midlands,Superstore,tobacco,Wednesday,Afternoon (12-17),1,1.0
025,OmniMart Durham,North East,Local,energy drinks,Thursday,Morning (08-12),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,tobacco,Thursday,Afternoon (12-17),1,1.0
013,OmniMart Bath,South West,Local,analgesics,Thursday,Afternoon (12-17),1,1.0
019,OmniMart Coventry,Midlands,Local,energy drinks,Saturday,Afternoon (12-17),1,1.0
013,OmniMart Bath,South West,Local,tobacco,Sunday,Morning (08-12),1,1.0
012,OmniMart Bristol,South West,Superstore,energy drinks,Sunday,Afternoon (12-17),1,0.0
015,OmniMart Plymouth,South West,Supermarket,lottery,Wednesday,Early evening (17-20),2,1.0
020,OmniMart Manchester,North West,Superstore,analgesics,Thursday,Morning (08-12),1,0.0
007,OmniMart Guildford,South East,Supermarket,tobacco,Friday,Late evening (20-22),1,1.0
007,OmniMart Guildford,South East,Supermarket,analgesics,Monday,Morning (08-12),1,0.0
020,OmniMart Manchester,North West,Superstore,energy drinks,Monday,Afternoon (12-17),1,1.0
029,OmniMart Aberdeen,Scotland,Local,analgesics,Tuesday,Early evening (17-20),1,1.0
004,OmniMart Greenwich,London,Supermarket,analgesics,Thursday,Early evening (17-20),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,energy drinks,Friday,Early evening (17-20),1,1.0
014,OmniMart Exeter,South West,Supermarket,fireworks,Friday,Early evening (17-20),2,1.0
009,OmniMart Brighton,South East,Supermarket,alcohol,Friday,Early evening (17-20),1,0.0
018,OmniMart Leicester,Midlands,Supermarket,lottery,Saturday,Early evening (17-20),1,1.0
024,OmniMart Newcastle,North East,Supermarket,lottery,Sunday,Morning (08-12),1,1.0
008,OmniMart Reading,South East,Superstore,analgesics,Tuesday,Afternoon (12-17),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,energy drinks,Saturday,Morning (08-12),1,1.0
002,OmniMart Clapham,London,Local,alcohol,Tuesday,Afternoon (12-17),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,analgesics,Tuesday,Afternoon (12-17),1,0.0
008,OmniMart Reading,South East,Superstore,alcohol,Tuesday,Afternoon (12-17),1,1.0
019,OmniMart Coventry,Midlands,Local,lottery,Sunday,Late evening (20-22),1,1.0
025,OmniMart Durham,North East,Local,alcohol,Saturday,Early evening (17-20),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,tobacco,Saturday,Early evening (17-20),1,1.0
012,OmniMart Bristol,South West,Superstore,energy drinks,Saturday,Morning (08-12),1,1.0
005,OmniMart Richmond,London,Local,alcohol,Saturday,Early evening (17-20),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,tobacco,Sunday,Late evening (20-22),1,1.0
020,OmniMart Manchester,North West,Superstore,fireworks,Tuesday,Late evening (20-22),1,1.0
008,OmniMart Reading,South East,Superstore,alcohol,Saturday,Morning (08-12),1,1.0
019,OmniMart Coventry,Midlands,Local,alcohol,Saturday,Early evening (17-20),2,1.0
009,OmniMart Brighton,South East,Supermarket,lottery,Tuesday,Late evening (20-22),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,alcohol,Wednesday,Early evening (17-20),1,1.0
006,OmniMart Ealing,London,Supermarket,analgesics,Thursday,Afternoon (12-17),2,1.0
008,OmniMart Reading,South East,Superstore,analgesics,Thursday,Early evening (17-20),1,1.0
001,OmniMart Camden,London,Local,alcohol,Saturday,Early evening (17-20),1,1.0
003,OmniMart Islington,London,Supermarket,alcohol,Friday,Morning (08-12),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,alcohol,Saturday,Late evening (20-22),2,1.0
021,OmniMart Liverpool,North West,Supermarket,tobacco,Sunday,Afternoon (12-17),1,0.0
009,OmniMart Brighton,South East,Supermarket,alcohol,Tuesday,Afternoon (12-17),1,1.0
002,OmniMart Clapham,London,Local,tobacco,Thursday,Afternoon (12-17),1,1.0
010,OmniMart Oxford,South East,Local,analgesics,Thursday,Early evening (17-20),1,1.0
004,OmniMart Greenwich,London,Supermarket,lottery,Thursday,Early evening (17-20),1,0.0
017,OmniMart Nottingham,Midlands,Supermarket,lottery,Thursday,Early evening (17-20),1,1.0
006,OmniMart Ealing,London,Supermarket,tobacco,Thursday,Morning (08-12),1,1.0
029,OmniMart Aberdeen,Scotland,Local,analgesics,Thursday,Early evening (17-20),1,1.0
024,OmniMart Newcastle,North East,Supermarket,analgesics,Saturday,Late evening (20-22),1,0.0
016,OmniMart Birmingham,Midlands,Superstore,fireworks,Thursday,Morning (08-12),1,0.0
028,OmniMart Glasgow,Scotland,Supermarket,analgesics,Friday,Morning (08-12),2,1.0
004,OmniMart Greenwich,London,Supermarket,alcohol,Saturday,Afternoon (12-17),1,1.0
021,OmniMart Liverpool,North West,Supermarket,analgesics,Monday,Early evening (17-20),2,0.5
024,OmniMart Newcastle,North East,Supermarket,energy drinks,Tuesday,Early evening (17-20),1,1.0
014,OmniMart Exeter,South West,Supermarket,tobacco,Sunday,Early evening (17-20),1,1.0
026,OmniMart York,North East,Supermarket,alcohol,Saturday,Early evening (17-20),1,1.0
025,OmniMart Durham,North East,Local,tobacco,Monday,Morning (08-12),2,1.0
014,OmniMart Exeter,South West,Supermarket,alcohol,Monday,Early evening (17-20),2,1.0
012,OmniMart Bristol,South West,Superstore,energy drinks,Tuesday,Afternoon (12-17),1,0.0
019,OmniMart Coventry,Midlands,Local,tobacco,Sunday,Afternoon (12-17),2,1.0
020,OmniMart Manchester,North West,Superstore,fireworks,Sunday,Morning (08-12),1,1.0
030,OmniMart Cardiff,Wales,Supermarket,energy drinks,Tuesday,Late evening (20-22),1,0.0
028,OmniMart Glasgow,Scotland,Supermarket,energy drinks,Thursday,Morning (08-12),1,1.0
023,OmniMart Chester,North West,Supermarket,lottery,Thursday,Early evening (17-20),1,1.0
012,OmniMart Bristol,South West,Superstore,analgesics,Wednesday,Morning (08-12),1,1.0
010,OmniMart Oxford,South East,Local,lottery,Saturday,Afternoon (12-17),1,1.0
003,OmniMart Islington,London,Supermarket,analgesics,Wednesday,Morning (08-12),1,1.0
019,OmniMart Coventry,Midlands,Local,tobacco,Wednesday,Early evening (17-20),1,1.0
013,OmniMart Bath,South West,Local,alcohol,Saturday,Afternoon (12-17),1,1.0
016,OmniMart Birmingham,Midlands,Superstore,tobacco,Monday,Afternoon (12-17),1,1.0
024,OmniMart Newcastle,North East,Supermarket,alcohol,Tuesday,Morning (08-12),1,1.0
019,OmniMart Coventry,Midlands,Local,energy drinks,Tuesday,Afternoon (12-17),1,1.0
006,OmniMart Ealing,London,Supermarket,alcohol,Wednesday,Afternoon (12-17),1,1.0
029,OmniMart Aberdeen,Scotland,Local,lottery,Thursday,Early evening (17-20),1,1.0
010,OmniMart Oxford,South East,Local,lottery,Thursday,Early evening (17-20),1,1.0
025,OmniMart Durham,North East,Local,tobacco,Thursday,Late evening (20-22),1,1.0
016,OmniMart Birmingham,Midlands,Superstore,tobacco,Wednesday,Morning (08-12),1,0.0
018,OmniMart Leicester,Midlands,Supermarket,energy drinks,Tuesday,Early evening (17-20),1,1.0
022,OmniMart Preston,North West,Local,tobacco,Wednesday,Early evening (17-20),1,1.0
027,OmniMart Edinburgh,Scotland,Superstore,fireworks,Friday,Afternoon (12-17),2,1.0
029,OmniMart Aberdeen,Scotland,Local,energy drinks,Saturday,Morning (08-12),1,0.0
010,OmniMart Oxford,South East,Local,fireworks,Saturday,Afternoon (12-17),1,1.0
001,OmniMart Camden,London,Local,fireworks,Saturday,Afternoon (12-17),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,fireworks,Saturday,Early evening (17-20),1,1.0
020,OmniMart Manchester,North West,Superstore,alcohol,Saturday,Early evening (17-20),2,1.0
015,OmniMart Plymouth,South West,Supermarket,fireworks,Saturday,Early evening (17-20),1,0.0
029,OmniMart Aberdeen,Scotland,Local,fireworks,Saturday,Early evening (17-20),1,1.0
026,OmniMart York,North East,Supermarket,fireworks,Saturday,Early evening (17-20),1,1.0
013,OmniMart Bath,South West,Local,fireworks,Sunday,Morning (08-12),1,1.0
002,OmniMart Clapham,London,Local,fireworks,Sunday,Morning (08-12),2,1.0
029,OmniMart Aberdeen,Scotland,Local,fireworks,Sunday,Afternoon (12-17),1,1.0
009,OmniMart Brighton,South East,Supermarket,fireworks,Sunday,Early evening (17-20),1,1.0
004,OmniMart Greenwich,London,Supermarket,fireworks,Monday,Morning (08-12),2,1.0
007,OmniMart Guildford,South East,Supermarket,fireworks,Monday,Afternoon (12-17),1,1.0
010,OmniMart Oxford,South East,Local,fireworks,Monday,Early evening (17-20),1,1.0
008,OmniMart Reading,South East,Superstore,energy drinks,Tuesday,Afternoon (12-17),1,1.0
028,OmniMart Glasgow,Scotland,Supermarket,fireworks,Tuesday,Early evening (17-20),1,1.0
012,OmniMart Bristol,South West,Superstore,fireworks,Tuesday,Early evening (17-20),1,1.0
013,OmniMart Bath,South West,Local,fireworks,Wednesday,Afternoon (12-17),2,1.0
025,OmniMart Durham,North East,Local,fireworks,Wednesday,Afternoon (12-17),2,0.5
005,OmniMart Richmond,London,Local,analgesics,Friday,Early evening (17-20),1,1.0
007,OmniMart Guildford,South East,Supermarket,fireworks,Saturday,Afternoon (12-17),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,alcohol,Monday,Early evening (17-20),2,1.0
006,OmniMart Ealing,London,Supermarket,fireworks,Monday,Early evening (17-20),1,1.0
015,OmniMart Plymouth,South West,Supermarket,energy drinks,Thursday,Early evening (17-20),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,alcohol,Saturday,Early evening (17-20),1,1.0
003,OmniMart Islington,London,Supermarket,fireworks,Saturday,Late evening (20-22),1,1.0
012,OmniMart Bristol,South West,Superstore,analgesics,Sunday,Afternoon (12-17),1,1.0
017,OmniMart Nottingham,Midlands,Supermarket,analgesics,Tuesday,Morning (08-12),1,1.0
023,OmniMart Chester,North West,Supermarket,tobacco,Tuesday,Morning (08-12),2,1.0
013,OmniMart Bath,South West,Local,tobacco,Wednesday,Afternoon (12-17),1,1.0
002,OmniMart Clapham,London,Local,energy drinks,Thursday,Afternoon (12-17),1,1.0
021,OmniMart Liverpool,North West,Supermarket,analgesics,Friday,Morning (08-12),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,energy drinks,Sunday,Afternoon (12-17),1,1.0
020,OmniMart Manchester,North West,Superstore,lottery,Sunday,Afternoon (12-17),2,1.0
017,OmniMart Nottingham,Midlands,Supermarket,tobacco,Monday,Early evening (17-20),1,1.0
020,OmniMart Manchester,North West,Superstore,lottery,Saturday,Late evening (20-22),1,0.0
007,OmniMart Guildford,South East,Supermarket,tobacco,Monday,Early evening (17-20),1,1.0
010,OmniMart Oxford,South East,Local,energy drinks,Tuesday,Morning (08-12),1,1.0
024,OmniMart Newcastle,North East,Supermarket,alcohol,Wednesday,Early evening (17-20),1,1.0
019,OmniMart Coventry,Midlands,Local,lottery,Thursday,Early evening (17-20),1,1.0
023,OmniMart Chester,North West,Supermarket,alcohol,Friday,Early evening (17-20),2,1.0
015,OmniMart Plymouth,South West,Supermarket,alcohol,Friday,Early evening (17-20),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,analgesics,Saturday,Early evening (17-20),1,0.0
022,OmniMart Preston,North West,Local,alcohol,Monday,Afternoon (12-17),1,1.0
005,OmniMart Richmond,London,Local,analgesics,Tuesday,Early evening (17-20),1,1.0
020,OmniMart Manchester,North West,Superstore,alcohol,Saturday,Late evening (20-22),1,1.0
018,OmniMart Leicester,Midlands,Supermarket,analgesics,Saturday,Late evening (20-22),1,1.0
009,OmniMart Brighton,South East,Supermarket,tobacco,Wednesday,Afternoon (12-17),1,1.0
029,OmniMart Aberdeen,Scotland,Local,lottery,Wednesday,Early evening (17-20),2,1.0
014,OmniMart Exeter,South West,Supermarket,lottery,Wednesday,Late evening (20-22),1,1.0
004,OmniMart Greenwich,London,Supermarket,analgesics,Friday,Afternoon (12-17),1,1.0
025,OmniMart Durham,North East,Local,lottery,Friday,Afternoon (12-17),2,1.0
011,OmniMart Canterbury,South East,Supermarket,tobacco,Monday,Early evening (17-20),1,1.0
016,OmniMart Birmingham,Midlands,Superstore,lottery,Wednesday,Morning (08-12),1,1.0
015,OmniMart Plymouth,South West,Supermarket,tobacco,Wednesday,Early evening (17-20),1,1.0
015,OmniMart Plymouth,South West,Supermarket,tobacco,Wednesday,Late evening (20-22),1,1.0
024,OmniMart Newcastle,North East,Supermarket,fireworks,Sunday,Afternoon (12-17),1,1.0
014,OmniMart Exeter,South West,Supermarket,fireworks,Monday,Early evening (17-20),1,1.0
008,OmniMart Reading,South East,Superstore,fireworks,Tuesday,Afternoon (12-17),1,1.0
025,OmniMart Durham,North East,Local,fireworks,Tuesday,Early evening (17-20),1,1.0
002,OmniMart Clapham,London,Local,lottery,Tuesday,Early evening (17-20),1,1.0
003,OmniMart Islington,London,Supermarket,fireworks,Wednesday,Morning (08-12),1,1.0
