store_number,user_id,total_transactions,check_complete_rate,check_rate_flag,checks_completed,check_pass_rate,pass_rate_flag,has_recent_test_purchase_fail,failed_categories,has_category_check_issue,flagged_categories
028,U0501,132,0.9621,Very high - checking almost everyone,127,0.874,Normal,false,,false,
017,U0299,272,0.1434,Normal,39,0.8205,Normal,false,,false,
005,U0093,372,0.1532,Normal,57,0.8947,Normal,false,,false,
014,U0249,268,0.2239,Normal,60,0.9167,Normal,false,,false,
002,U0032,1084,0.0747,Normal,81,0.9136,Normal,false,,false,
026,U0450,688,0.1294,Normal,89,0.9101,Normal,false,,false,
013,U0232,192,0.1042,Normal,20,1.0,Normal,false,,false,
013,U0228,140,0.0929,Normal,13,0.9231,Normal,false,,false,
015,U0260,132,0.1894,Normal,25,0.56,Low pass rate - possible mislogging,false,,false,
018,U0318,312,0.0577,Normal,18,1.0,Normal,false,,false,
024,U0431,324,0.1173,Normal,38,0.9211,Normal,false,,false,
001,U0019,492,0.0955,Normal,47,0.7872,Low pass rate - possible mislogging,false,,false,
008,U0147,520,0.2288,Very high - checking almost everyone,119,0.8739,Normal,false,,false,
010,U0178,124,0.129,Normal,16,0.6875,Low pass rate - possible mislogging,false,,false,
024,U0419,192,0.2448,Very high - checking almost everyone,47,0.9362,Normal,false,,false,
004,U0072,460,0.1435,Normal,66,1.0,High pass rate,false,,false,
006,U0111,120,0.15,Normal,18,0.9444,Normal,false,,false,
019,U0341,248,0.9355,Very high - checking almost everyone,232,0.9569,High pass rate,false,,false,
011,U0198,196,0.1837,Normal,36,0.9444,Normal,false,,false,
004,U0077,256,0.1641,Normal,42,0.881,Normal,false,,false,
007,U0130,420,0.0381,Very low - rarely checking ID,16,0.9375,Normal,false,,false,
023,U0395,152,0.1974,Normal,30,1.0,High pass rate,false,,false,
006,U0104,240,0.1792,Normal,43,0.814,Normal,false,,false,
004,U0066,248,0.1169,Normal,29,0.8966,Normal,false,,false,
025,U0438,216,0.213,Normal,46,0.9565,High pass rate,false,,false,
014,U0250,308,0.1299,Normal,40,0.975,High pass rate,false,,false,
019,U0331,208,0.1154,Normal,24,0.875,Normal,false,,false,
020,U0349,484,0.126,Normal,61,0.9016,Normal,false,,false,
024,U0425,268,0.0858,Normal,23,1.0,Normal,false,,false,
028,U0493,296,0.1791,Normal,53,0.8868,Normal,false,,false,
028,U0497,168,0.3214,Very high - checking almost everyone,54,0.6852,Low pass rate - possible mislogging,false,,false,
028,U0502,288,0.1389,Normal,40,0.825,Normal,false,,false,
030,U0518,616,0.1104,Normal,68,0.9412,Normal,false,,false,
015,U0261,388,0.1418,Normal,55,0.8182,Normal,false,,false,
028,U0496,236,0.1186,Normal,28,0.8929,Normal,false,,false,
010,U0174,504,0.1687,Normal,85,0.9059,Normal,false,,false,
009,U0158,468,0.1175,Normal,55,0.9818,High pass rate,false,,false,
015,U0259,592,0.1639,Normal,97,0.8247,Normal,false,,false,
015,U0273,132,0.9318,Very high - checking almost everyone,123,0.9756,High pass rate,false,,false,
019,U0326,240,0.1458,Normal,35,1.0,High pass rate,false,,false,
005,U0103,208,0.1587,Normal,33,0.9091,Normal,false,,false,
024,U0427,144,0.1389,Normal,20,1.0,Normal,false,,false,
020,U0359,360,0.2806,Very high - checking almost everyone,101,0.6832,Low pass rate - possible mislogging,false,,false,
002,U0025,276,0.1486,Normal,41,0.9512,High pass rate,false,,false,
007,U0129,220,0.2,Normal,44,0.8636,Normal,false,,false,
019,U0342,224,0.1652,Normal,37,0.9189,Normal,false,,false,
013,U0219,376,0.1037,Normal,39,0.8974,Normal,false,,false,
002,U0033,172,0.314,Very high - checking almost everyone,54,0.9259,Normal,false,,false,
004,U0060,136,0.1103,Normal,15,0.7333,Low pass rate - possible mislogging,false,,false,
030,U0516,156,0.0449,Very low - rarely checking ID,7,0.7143,Low pass rate - possible mislogging,false,,false,
002,U0036,592,0.1385,Normal,82,0.7683,Low pass rate - possible mislogging,false,,false,
027,U0481,444,0.0586,Normal,26,0.6538,Low pass rate - possible mislogging,false,,false,
025,U0440,220,0.1273,Normal,28,0.9643,Normal,false,,false,
027,U0478,440,0.1068,Normal,47,0.8511,Normal,false,,false,
024,U0423,152,0.1382,Normal,21,0.9524,Normal,false,,false,
020,U0348,416,0.2019,Normal,84,0.9405,Normal,false,,false,
026,U0458,312,0.2083,Normal,65,0.8923,Normal,false,,false,
017,U0300,148,0.223,Normal,33,0.9091,Normal,false,,false,
003,U0038,128,0.1484,Normal,19,0.9474,Normal,false,,false,
001,U0016,152,0.1316,Normal,20,1.0,Normal,false,,false,
021,U0374,204,0.1225,Normal,25,0.68,Low pass rate - possible mislogging,false,,false,
010,U0175,152,0.2171,Normal,33,0.8788,Normal,false,,false,
007,U0131,148,0.223,Normal,33,0.9091,Normal,false,,false,
025,U0444,352,0.1165,Normal,41,0.8537,Normal,false,,false,
004,U0071,244,0.1189,Normal,29,0.5517,Low pass rate - possible mislogging,false,,false,
019,U0344,256,0.0898,Normal,23,0.9565,Normal,false,,false,
008,U0138,328,0.0762,Normal,25,0.88,Normal,false,,false,
026,U0461,220,0.1727,Normal,38,0.9211,Normal,false,,false,
030,U0520,192,0.2344,Very high - checking almost everyone,45,0.8,Normal,false,,false,
001,U0011,140,0.2286,Very high - checking almost everyone,32,0.8125,Normal,false,,false,
024,U0426,660,0.2561,Very high - checking almost everyone,169,0.9882,High pass rate,false,,false,
011,U0193,180,0.2056,Normal,37,0.6757,Low pass rate - possible mislogging,false,,false,
027,U0484,140,0.1429,Normal,20,1.0,Normal,false,,false,
004,U0065,136,0.1471,Normal,20,0.85,Normal,false,,false,
025,U0435,160,0.275,Very high - checking almost everyone,44,0.5455,Low pass rate - possible mislogging,false,,false,
029,U0505,148,0.0946,Normal,14,1.0,Normal,false,,false,
009,U0156,132,0.1136,Normal,15,0.9333,Normal,false,,false,
020,U0353,148,0.0878,Normal,13,1.0,Normal,false,,false,
003,U0040,204,0.0686,Normal,14,1.0,Normal,false,,false,
019,U0323,120,0.1917,Normal,23,0.9565,Normal,false,,false,
009,U0161,708,0.096,Normal,68,0.8382,Normal,true,tobacco,false,
030,U0522,344,0.1192,Normal,41,0.5854,Low pass rate - possible mislogging,true,analgesics,false,
001,U0003,360,0.1167,Normal,42,0.9762,High pass rate,true,analgesics,false,
009,U0162,180,0.2,Normal,36,0.8056,Normal,true,analgesics,false,
004,U0068,160,0.9625,Very high - checking almost everyone,154,0.5714,Low pass rate - possible mislogging,true,analgesics,false,
004,U0074,156,0.2564,Very high - checking almost everyone,40,0.925,Normal,true,energy drinks,true,energy drinks
005,U0087,632,0.0332,Very low - rarely checking ID,21,0.8571,Normal,true,lottery,true,fireworks
004,U0069,332,0.0151,Very low - rarely checking ID,5,1.0,Unscored - low volume,false,,true,energy drinks
007,U0128,372,0.0349,Very low - rarely checking ID,13,1.0,Normal,false,,true,"alcohol, energy drinks"
023,U0402,148,0.2635,Very high - checking almost everyone,39,0.7436,Low pass rate - possible mislogging,false,,true,fireworks
001,U0005,388,0.1727,Normal,67,0.9254,Normal,false,,true,fireworks
013,U0217,512,0.25,Very high - checking almost everyone,128,0.9219,Normal,false,,true,fireworks
014,U0242,448,0.0335,Very low - rarely checking ID,15,1.0,Normal,false,,true,fireworks
010,U0163,156,0.1603,Normal,25,0.92,Normal,false,,true,fireworks
020,U0351,152,0.2237,Normal,34,0.7647,Low pass rate - possible mislogging,false,,true,energy drinks
029,U0506,384,0.1536,Normal,59,0.8983,Normal,false,,true,fireworks
021,U0373,132,0.1136,Normal,15,0.9333,Normal,false,,true,lottery
027,U0479,364,0.0852,Normal,31,0.8065,Normal,false,,true,analgesics
010,U0181,164,0.0488,Very low - rarely checking ID,8,1.0,Normal,false,,true,"alcohol, lottery"
021,U0370,264,0.0227,Very low - rarely checking ID,6,0.5,Low pass rate - possible mislogging,false,,true,"tobacco, analgesics"
003,U0048,284,0.0141,Very low - rarely checking ID,4,0.5,Unscored - low volume,false,,true,"lottery, alcohol, tobacco"
003,U0050,160,0.325,Very high - checking almost everyone,52,0.9038,Normal,false,,true,energy drinks
017,U0304,252,0.0833,Normal,21,0.9524,Normal,false,,true,analgesics
021,U0371,312,0.1506,Normal,47,0.9787,High pass rate,false,,true,fireworks
027,U0473,148,0.0676,Normal,10,0.9,Normal,false,,true,energy drinks
013,U0236,164,0.2195,Normal,36,0.9167,Normal,false,,true,fireworks
005,U0101,356,0.1685,Normal,60,0.7833,Low pass rate - possible mislogging,false,,true,fireworks
028,U0499,276,0.2246,Very high - checking almost everyone,62,0.9516,High pass rate,false,,true,fireworks
011,U0192,124,0.1532,Normal,19,1.0,Normal,false,,true,"analgesics, fireworks"
017,U0301,132,0.2197,Normal,29,0.9655,Normal,false,,true,fireworks
016,U0289,320,0.1906,Normal,61,0.7869,Low pass rate - possible mislogging,false,,true,fireworks
019,U0322,184,0.038,Very low - rarely checking ID,7,0.8571,Normal,false,,true,energy drinks
005,U0086,184,0.1522,Normal,28,0.8571,Normal,false,,false,
023,U0400,524,0.0821,Normal,43,0.8837,Normal,false,,false,
006,U0107,368,0.1576,Normal,58,0.7759,Low pass rate - possible mislogging,false,,false,
014,U0241,368,0.0897,Normal,33,0.9091,Normal,false,,false,
001,U0001,280,0.0821,Normal,23,0.9565,Normal,false,,false,
001,U0020,164,0.2073,Normal,34,0.9412,Normal,false,,false,
006,U0116,428,0.1402,Normal,60,0.75,Low pass rate - possible mislogging,false,,false,
010,U0182,580,0.1172,Normal,68,0.5441,Low pass rate - possible mislogging,false,,false,
012,U0208,416,0.1346,Normal,56,0.875,Normal,false,,false,
003,U0056,464,0.972,Very high - checking almost everyone,451,0.9335,Normal,false,,false,
010,U0171,1192,0.2458,Very high - checking almost everyone,293,0.9249,Normal,false,,false,
021,U0363,220,0.1636,Normal,36,1.0,High pass rate,false,,false,
021,U0368,332,0.1687,Normal,56,0.9643,High pass rate,false,,false,
005,U0092,296,0.2331,Very high - checking almost everyone,69,0.9855,High pass rate,false,,false,
027,U0488,340,0.0853,Normal,29,1.0,Normal,false,,false,
027,U0470,260,0.0769,Normal,20,0.95,Normal,false,,false,
011,U0187,132,0.1364,Normal,18,0.9444,Normal,false,,false,
015,U0270,380,0.2316,Very high - checking almost everyone,88,0.9205,Normal,false,,false,
018,U0315,300,0.23,Very high - checking almost everyone,69,0.5797,Low pass rate - possible mislogging,false,,false,
006,U0105,220,0.1591,Normal,35,0.9714,High pass rate,false,,false,
015,U0276,280,0.175,Normal,49,0.7959,Low pass rate - possible mislogging,false,,false,
006,U0106,188,0.1117,Normal,21,0.9524,Normal,false,,false,
019,U0327,944,0.1907,Normal,180,0.9389,Normal,false,,false,
023,U0399,1036,0.1931,Normal,200,0.905,Normal,false,,false,
016,U0290,388,0.2448,Very high - checking almost everyone,95,0.8211,Normal,false,,false,
022,U0389,312,0.9776,Very high - checking almost everyone,305,0.9148,Normal,false,,false,
022,U0381,244,0.2295,Very high - checking almost everyone,56,0.9107,Normal,false,,false,
014,U0257,148,0.1284,Normal,19,0.8421,Normal,false,,false,
017,U0306,148,0.9392,Very high - checking almost everyone,139,0.9784,High pass rate,false,,false,
020,U0345,160,0.0875,Normal,14,0.7143,Low pass rate - possible mislogging,false,,false,
019,U0321,688,0.1541,Normal,106,0.9717,High pass rate,false,,false,
002,U0028,184,0.1359,Normal,25,0.84,Normal,false,,false,
006,U0108,220,0.1273,Normal,28,0.5,Low pass rate - possible mislogging,false,,false,
016,U0281,292,0.1438,Normal,42,0.8333,Normal,false,,false,
022,U0386,820,0.2073,Normal,170,0.8353,Normal,false,,false,
019,U0343,420,0.1881,Normal,79,0.962,High pass rate,false,,false,
022,U0385,492,0.1077,Normal,53,0.9434,Normal,false,,false,
001,U0022,452,0.1239,Normal,56,0.8571,Normal,false,,false,
015,U0263,428,0.1636,Normal,70,0.9571,High pass rate,false,,false,
012,U0202,252,0.2063,Normal,52,0.9038,Normal,false,,false,
017,U0292,184,0.1739,Normal,32,1.0,High pass rate,false,,false,
014,U0247,684,0.076,Normal,52,0.9038,Normal,false,,false,
010,U0165,196,0.2653,Very high - checking almost everyone,52,0.9038,Normal,false,,false,
014,U0251,248,0.1411,Normal,35,0.8857,Normal,false,,false,
008,U0145,384,0.1406,Normal,54,0.9259,Normal,false,,false,
016,U0279,436,0.1216,Normal,53,0.9057,Normal,false,,false,
020,U0350,248,0.2702,Very high - checking almost everyone,67,0.9254,Normal,false,,false,
017,U0291,140,0.2643,Very high - checking almost everyone,37,0.7297,Low pass rate - possible mislogging,false,,false,
029,U0504,208,0.1538,Normal,32,1.0,High pass rate,false,,false,
018,U0313,244,0.1189,Normal,29,0.5517,Low pass rate - possible mislogging,false,,false,
004,U0067,392,0.2321,Very high - checking almost everyone,91,0.989,High pass rate,false,,false,
019,U0336,1120,0.1973,Normal,221,0.8914,Normal,false,,false,
005,U0095,588,0.1105,Normal,65,0.9538,High pass rate,false,,false,
012,U0205,324,0.1512,Normal,49,0.9592,High pass rate,false,,false,
029,U0508,768,0.1536,Normal,118,0.8983,Normal,false,,false,
009,U0155,672,0.1131,Normal,76,0.9079,Normal,false,,false,
006,U0115,256,0.1094,Normal,28,0.4286,Low pass rate - possible mislogging,false,,false,
012,U0211,616,0.1461,Normal,90,0.9444,Normal,false,,false,
017,U0295,208,0.125,Normal,26,0.9615,Normal,false,,false,
023,U0397,172,0.2093,Normal,36,0.9167,Normal,false,,false,
023,U0407,176,0.2159,Normal,38,0.9474,Normal,false,,false,
016,U0287,172,0.1105,Normal,19,0.8421,Normal,false,,false,
013,U0215,156,0.109,Normal,17,0.8824,Normal,false,,false,
023,U0401,368,0.106,Normal,39,0.8205,Normal,false,,false,
003,U0045,164,0.1829,Normal,30,0.6333,Low pass rate - possible mislogging,false,,false,
029,U0511,200,0.245,Very high - checking almost everyone,49,0.8776,Normal,false,,false,
029,U0503,140,0.1143,Normal,16,1.0,Normal,false,,false,
016,U0288,244,0.2213,Normal,54,0.8519,Normal,false,,false,
005,U0099,216,0.0602,Normal,13,0.9231,Normal,false,,false,
024,U0428,276,0.1196,Normal,33,0.9697,High pass rate,false,,false,
023,U0396,260,0.0962,Normal,25,0.84,Normal,false,,false,
005,U0100,132,0.0909,Normal,12,0.8333,Normal,false,,false,
012,U0203,324,0.25,Very high - checking almost everyone,81,0.7284,Low pass rate - possible mislogging,false,,false,
017,U0297,352,0.1023,Normal,36,0.9167,Normal,false,,false,
009,U0157,268,0.1828,Normal,49,0.8776,Normal,false,,false,
022,U0387,356,0.1545,Normal,55,0.8545,Normal,false,,false,
010,U0186,168,0.1071,Normal,18,1.0,Normal,false,,false,
009,U0152,120,0.2,Normal,24,1.0,Normal,false,,false,
026,U0464,140,0.1143,Normal,16,1.0,Normal,false,,false,
026,U0451,264,0.1742,Normal,46,1.0,High pass rate,false,,false,
024,U0432,284,0.1056,Normal,30,0.9667,High pass rate,false,,false,
029,U0514,280,0.9679,Very high - checking almost everyone,271,0.9262,Normal,false,,false,
014,U0256,164,0.1829,Normal,30,0.9667,High pass rate,false,,false,
008,U0140,164,0.1585,Normal,26,0.8462,Normal,false,,false,
005,U0085,284,0.1162,Normal,33,0.9394,Normal,false,,false,
007,U0122,176,0.0682,Normal,12,1.0,Normal,false,,false,
